5
1 6 7 4 9 12 6 4 5 9 25 137 1 2 3 4 5
24	34	62	87	67	31	13	97	16	57	69	88	14	82	20	45	56	81	83	2	88	100	7	91	60
56	56	79	23	24	51	73	83	16	2	18	26	41	44	63	16	5	55	21	93	24	56	76	19	70
15	1	12	66	21	15	87	68	45	37	95	45	99	81	62	64	39	72	14	40	87	4	47	68	25
29	45	100	90	36	27	43	53	76	85	9	32	65	59	97	58	9	5	73	38	3	91	70	36	57
97	21	77	21	61	64	82	11	25	56	45	5	62	44	23	70	40	53	18	37	50	85	3	27	90
60	35	31	68	33	6	28	51	68	71	35	90	92	64	52	28	76	32	12	44	89	19	60	96	19
84	19	36	71	12	65	97	82	80	42	54	92	62	59	12	90	89	76	67	34	49	47	24	25	21
95	19	1	20	39	14	6	17	67	45	46	6	72	17	14	26	36	88	28	74	9	19	37	20	22
67	90	100	95	39	63	17	64	74	80	4	60	18	89	63	81	82	66	20	73	95	56	56	32	69
12	98	16	49	57	56	53	89	24	88	85	21	37	73	27	100	27	89	66	35	71	71	14	25	95
32	34	91	72	60	2	80	74	31	24	34	66	43	9	72	97	3	56	71	85	27	22	30	6	26
26	71	32	72	10	11	8	37	92	82	98	38	75	22	89	9	20	18	45	30	50	39	63	29	53
37	1	28	10	21	2	64	35	61	37	32	99	60	99	99	30	37	48	69	43	45	9	89	1	59
45	45	73	8	93	12	85	34	100	45	36	73	92	90	73	37	55	62	87	46	69	73	66	80	15
99	94	17	42	27	69	37	55	11	76	26	7	95	50	20	75	97	96	24	11	13	85	99	68	51
49	37	93	14	25	23	86	37	51	26	99	12	55	69	49	59	32	79	32	81	56	40	36	14	22
38	67	19	7	50	57	37	49	65	66	68	90	62	30	37	12	26	29	84	62	55	97	15	1	75
17	78	65	44	78	100	49	46	95	57	72	69	62	1	92	34	7	25	71	31	57	60	39	40	5
25	90	37	19	3	84	79	60	22	47	41	92	78	47	58	67	79	63	19	42	89	11	99	26	86
17	37	77	68	40	30	49	100	64	67	7	47	18	38	79	2	21	11	19	46	17	35	91	54	88
37	72	36	82	3	85	89	77	26	98	88	81	67	57	80	7	69	98	80	58	74	91	38	60	69
88	44	29	21	55	92	30	36	39	30	88	10	75	22	66	95	99	15	34	27	44	64	49	32	34
7	83	62	46	44	18	10	45	64	29	86	39	50	54	25	19	59	100	84	25	68	38	94	89	44
28	64	18	39	59	9	35	14	62	94	63	91	94	12	6	80	95	64	73	45	75	87	96	93	26
41	67	25	57	4	68	54	3	66	56	43	44	75	50	37	41	46	19	99	3	33	34	54	66	28
67	10	49	21	74	2	100	47	35	43	54	48	99	8	76	93	44	62	84	52	88	16	20	86	11
99	24	33	20	1	32	5	68	18	71	70	26	27	86	28	17	30	23	60	64	82	11	88	73	15
91	21	3	69	22	50	88	56	92	86	92	59	49	5	21	84	84	48	89	45	45	56	38	36	90
48	59	63	40	86	94	99	47	76	38	6	48	98	89	87	99	66	23	85	39	8	1	7	8	22
90	99	89	64	72	42	27	56	51	77	46	24	52	9	73	36	6	64	88	22	35	26	30	91	40
48	53	70	76	21	23	42	89	88	57	30	51	64	92	32	4	36	19	51	43	65	12	50	82	7
83	2	77	55	55	25	22	16	22	99	30	96	74	54	77	65	93	36	31	18	26	36	75	3	69
20	90	69	5	9	72	69	62	25	53	73	34	41	68	95	40	97	27	76	50	64	71	98	50	99
76	70	86	76	11	22	87	68	73	6	12	15	18	96	64	7	62	51	71	67	32	88	85	83	86
86	75	4	12	59	79	56	25	97	84	95	100	20	79	78	73	13	41	24	9	53	94	84	88	62
82	36	85	92	8	57	10	10	53	18	16	83	18	76	7	37	31	65	50	63	86	1	85	70	87
